action,действие
activity,деятельность
age,возраст
air,воздух
animal,животное
area,область
authority,авторитет
bank,банк
body,тело
book,книга
building,здание
business,дело
car,автомобиль
case,случай
centre,центр
century,век
change,сдача
child,ребенок
city,город
community,общество
company,компания
condition,состояние
control,контроль
country,страна
course,курс
court,суд
day,день
development,развитие
door,дверь
education,образование
effect,эффект
end,конец
example,пример
experience,опыт
eye,глаз
face,лицо
fact,факт
family,семья
father,отец
field,поле
figure,фигура
flat,квартира
food,еда
form,форма
friend,друг
game,игра
girl,девочка
government,правительство
group,группа
guy,парень
hand,рука
head,голова
health,здоровье
history,история
home,дом
hour,час
house,дом
idea,идея
industry,производство
information,информация
interest,интерес
job,работа
kid,ребенок
kind,сорт
language,язык
law,закон
level,уровень
life,жизнь
ine,линия
love,любовь
man,мужчина
manager,менеджер
manner,манера
market,рынок
million,миллион
mind,ум
minute,минута
moment,момент
money,деньги
month,месяц
morning,утро
mother,мать
name,имя
need,необходимость
night,ночь
number,номер
office,офис
opportunity,возможность
order,заказ
paper,бумага
parent,родитель
part,часть
people,люди
period,период
person,человеческий
place,место
plan,план
point,пункт
police,полиция
policy,политика
position,позиция
power,власть
president,президент
price,цена
problem,проблема
process,процесс
programme,программа
project,проект
quality,качество
question,вопрос
reason,причина
relationship,связь
report,отчет
research,исследование
rest,отдых
result,результат
road,дорога
room,комната
school,школа
sense,чувство
service,сервис
side,сторона
society,общество
staff,персонал
story,история
street,улица
student,студент
study,изучение
support,поддержка
system,система
table,стол
teacher,учитель
team,команда
term,семестр
thing,вещь
time,время
type,тип
use,применение
view,вид
war,война
water,вода
way,путь
week,неделя
woman,женщина
word,слово
work,работа
world,мир
year,год
